epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,424.287,1.50584,2.24283,1.74373,0.00859,0.28889,0.00663,0.00135,3.61993,70.4278,9.38701,0.0757,0.0027,0.0027
2,829.332,1.83156,2.17632,1.93352,0.0037,0.44444,0.0029,0.00089,4.12331,6034,199.403,0.0502278,0.00522775,0.00522775
3,1243.94,1.75961,2.02881,1.89781,0.00718,0.28889,0.00451,0.00113,3.4641,1243.87,12.2779,0.0244783,0.0074783,0.0074783
4,1581.46,1.73495,2.05751,1.86307,0.00105,0.17778,0.00067,0.00019,4.41354,17354.7,50.6173,0.008515,0.008515,0.008515
5,3871.5,1.61846,1.88876,1.7627,0.03288,0.17778,0.03652,0.02052,3.40784,37.8929,4.40382,0.00802,0.00802,0.00802
6,4246.75,1.53436,1.80488,1.75035,0.23933,0.42222,0.26274,0.10448,2.16895,6.98029,3.18292,0.007525,0.007525,0.007525
7,4577.74,1.49211,1.75788,1.7059,0.3292,0.24444,0.18272,0.10464,2.94595,7.74187,4.00875,0.00703,0.00703,0.00703
8,4919.79,1.48085,1.75434,1.69226,0.31974,0.48889,0.36662,0.19125,2.16065,3.17704,3.13635,0.006535,0.006535,0.006535
9,5252.15,1.42408,1.68635,1.63003,0.5361,0.37778,0.39616,0.23155,2.03172,2.4773,2.60512,0.00604,0.00604,0.00604
10,5611.88,1.40171,1.65419,1.60676,0.58954,0.55556,0.52948,0.3013,1.80848,2.22121,2.43959,0.005545,0.005545,0.005545
11,5963.63,1.37723,1.73724,1.78043,0.69089,0.49685,0.6319,0.34706,1.77291,2.38978,2.41893,0.00505,0.00505,0.00505
12,6325.12,1.33739,1.62969,1.75133,0.65839,0.59962,0.63418,0.39498,1.38026,2.09657,1.9444,0.004555,0.004555,0.004555
13,6687.11,1.23035,1.44195,1.64197,0.79911,0.62222,0.76415,0.46422,1.56563,1.85848,2.17891,0.00406,0.00406,0.00406
14,7040.77,1.22515,1.3302,1.60366,0.81788,0.77778,0.82224,0.53238,1.30803,1.40695,1.89575,0.003565,0.003565,0.003565
15,7393.89,1.17497,1.27619,1.53957,0.77802,0.8,0.83233,0.56643,1.4657,1.45469,2.14116,0.00307,0.00307,0.00307
16,7750.13,1.17428,1.21981,1.56548,0.91032,0.68889,0.82228,0.57792,1.20541,1.36302,1.78162,0.002575,0.002575,0.002575
17,8113.18,1.1195,1.17229,1.48564,0.81281,0.77206,0.82314,0.58042,1.20257,1.52037,1.70867,0.00208,0.00208,0.00208
18,8510.22,1.07314,1.11461,1.45009,0.81447,0.77778,0.85827,0.62445,1.11659,1.34046,1.59896,0.001585,0.001585,0.001585
19,9214.74,1.05449,1.04573,1.4328,0.94546,0.71111,0.87747,0.64702,1.01586,1.16148,1.54391,0.00109,0.00109,0.00109
20,9662.06,1.00165,1.02724,1.40403,0.9451,0.76531,0.88667,0.6599,0.95989,1.0749,1.49859,0.000595,0.000595,0.000595
